year,ENSO_MAM,MDR_MAM,named_storms,hurricanes,majors,ATL_MAM,ENSO_SLP
1980,0.013333333,0.310390472,11,9,2,0.246352514,0.025
1981,-0.58,0.290503184,12,7,3,0.194705327,0.035
1982,0.263333333,-0.248107274,6,2,1,-0.280971527,0.16
1983,1.076666667,0.357222239,4,3,1,0.346677144,-0.24
1984,-0.643333333,-0.478590647,13,5,1,-0.409732183,-0.105
1985,-1,-0.960716883,11,7,3,-0.974484762,-0.12
1986,-0.426666667,-0.794681549,6,4,0,-0.811759949,-0.055
1987,0.726666667,0.166946411,7,3,1,0.186736425,-0.18
1988,-0.53,0.157293955,12,5,3,0.172585805,-0.675
1989,-1.056666667,-0.878002167,11,7,2,-0.775508245,0.165
1990,0.066666667,0.092447917,14,8,1,0.055891673,0.02
1991,0.16,-0.518906275,8,4,2,-0.557186762,0.115
1992,1.206666667,-0.365793228,7,4,1,-0.352686564,-0.17
1993,0.586666667,-0.260655721,8,4,1,-0.247946421,0.195
1994,0.226666667,-0.758514404,7,3,0,-0.715897242,0.1
1995,0.21,-0.000588735,19,11,5,-0.024941762,-0.285
1996,-0.486666667,0.163707733,13,9,6,0.111703873,0.115
1997,0.183333333,0.076552709,8,3,1,0.091060003,0.445
1998,0.896666667,0.340853373,14,10,3,0.373367945,-0.385
1999,-1.07,-0.401559194,12,8,5,-0.464612961,-0.1
2000,-0.903333333,-0.305198034,15,8,3,-0.16597112,0.06
2001,-0.436666667,-0.177830378,15,9,4,-0.097358704,0.07
2002,0.113333333,-0.02405866,12,4,2,-0.078952154,0.15
2003,-0.13,-0.319993973,16,7,3,-0.275854747,-0.485
2004,0.083333333,0.158254623,15,9,6,0.14447403,-0.03
2005,0.336666667,0.889105479,28,15,7,0.816017787,-0.075
