year,ENSO_MAM,MDR_MAM,named_storms,hurricanes,majors,ATL_MAM,ENSO_SLP
1950,-1.57,-0.525103251,16,11,6,-0.460248947,-0.165
1951,-0.206666667,-0.070341746,12,8,3,-0.163955053,0.185
1952,-0.09,-0.348414739,11,5,2,-0.44863828,-0.015
1953,0.286666667,-0.252963384,14,7,3,-0.308392843,0.03
1954,-0.786666667,-0.500402451,16,7,3,-0.552808762,-0.215
1955,-1.186666667,-0.540381114,13,9,4,-0.428289413,-0.11
1956,-0.866666667,-0.272670746,12,4,1,-0.376906713,0.015
1957,0.403333333,-0.733395259,8,3,2,-0.723920822,0.22
1958,0.606666667,0.716542562,12,7,3,0.636864344,-0.3
1959,0.006666667,-0.529631297,14,7,2,-0.548213959,-0.21
1960,-0.293333333,-0.227348328,8,4,2,-0.273007075,0.025
1961,-0.33,-0.335043589,12,8,5,-0.252985636,0.085
1962,-0.686666667,0.045459112,7,4,0,0.006392161,-0.205
1963,-0.143333333,-0.04910024,10,7,3,-0.074710846,-0.1
1964,-0.75,-0.312545776,13,7,5,-0.366580963,-0.43
1965,-0.24,-0.537584941,10,4,1,-0.554863612,0.2
1966,0.3,0.104744593,15,7,3,0.121493657,-0.655
1967,-0.816666667,-0.455464045,13,6,1,-0.494689941,0.095
1968,-0.806666667,-0.391614278,9,4,0,-0.510904312,0.1
1969,0.4,0.591847738,18,12,3,0.54358228,-0.095
1970,-0.173333333,0.381264369,14,7,2,0.332491557,-0.08
1971,-1.173333333,-0.763085047,13,6,1,-0.804785411,0.19
1972,0.086666667,-0.765508016,7,3,0,-0.833136241,0.285
1973,-0.426666667,-0.55591774,8,4,1,-0.510601044,-0.62
1974,-1.366666667,-1.325354894,11,4,2,-1.387765884,0.08
1975,-1.06,-0.905661901,9,6,3,-0.902858734,-0.02
1976,-0.83,-1.009748459,10,6,2,-1.012245178,0.04
1977,-0.133333333,-0.458316803,6,5,1,-0.404980977,-0.2
1978,-0.546666667,-0.048521678,12,5,2,-0.07886378,-0.27
1979,-0.083333333,0.163262685,9,5,2,0.113125483,-0.115
1980,0.013333333,0.310390472,11,9,2,0.246352514,0.025
1981,-0.58,0.290503184,12,7,3,0.194705327,0.035
1982,0.263333333,-0.248107274,6,2,1,-0.280971527,0.16
1983,1.076666667,0.357222239,4,3,1,0.346677144,-0.24
1984,-0.643333333,-0.478590647,13,5,1,-0.409732183,-0.105
1985,-1,-0.960716883,11,7,3,-0.974484762,-0.12
1986,-0.426666667,-0.794681549,6,4,0,-0.811759949,-0.055
1987,0.726666667,0.166946411,7,3,1,0.186736425,-0.18
1988,-0.53,0.157293955,12,5,3,0.172585805,-0.675
1989,-1.056666667,-0.878002167,11,7,2,-0.775508245,0.165
1990,0.066666667,0.092447917,14,8,1,0.055891673,0.02
1991,0.16,-0.518906275,8,4,2,-0.557186762,0.115
1992,1.206666667,-0.365793228,7,4,1,-0.352686564,-0.17
1993,0.586666667,-0.260655721,8,4,1,-0.247946421,0.195
1994,0.226666667,-0.758514404,7,3,0,-0.715897242,0.1
1995,0.21,-0.000588735,19,11,5,-0.024941762,-0.285
1996,-0.486666667,0.163707733,13,9,6,0.111703873,0.115
1997,0.183333333,0.076552709,8,3,1,0.091060003,0.445
1998,0.896666667,0.340853373,14,10,3,0.373367945,-0.385
1999,-1.07,-0.401559194,12,8,5,-0.464612961,-0.1
2000,-0.903333333,-0.305198034,15,8,3,-0.16597112,0.06
2001,-0.436666667,-0.177830378,15,9,4,-0.097358704,0.07
2002,0.113333333,-0.02405866,12,4,2,-0.078952154,0.15
2003,-0.13,-0.319993973,16,7,3,-0.275854747,-0.485
2004,0.083333333,0.158254623,15,9,6,0.14447403,-0.03
2005,0.336666667,0.889105479,28,15,7,0.816017787,-0.075
2006,-0.373333333,0.134944916,10,5,2,0.11945343,0.31
2007,-0.323333333,0.136209488,15,6,2,0.128900528,-0.145
2008,-1.013333333,-0.00539271,16,8,5,0.11853981,0.185
2009,-0.326666667,-0.412555695,9,3,2,-0.505129496,0.375
2010,0.353333333,1.301207225,19,12,5,1.262240728,-0.56
2011,-0.74,0.359092712,19,7,4,0.292655309,0.205
2012,-0.476666667,-0.164426804,19,10,2,-0.227193832,0.145
2013,-0.3,0.523523331,14,2,0,0.498774846,-0.075
2014,0.04,-0.403537114,8,6,2,-0.426551819,0.3
2015,0.696666667,-0.266478221,11,4,2,-0.28143692,0.225
2016,0.943333333,0.213149389,15,7,4,0.190689723,-0.66
2017,0.206666667,0.306153615,17,10,6,0.351690292,0.17
2018,-0.503333333,-0.356866201,15,8,2,-0.365876516,0.3
2019,0.66,-0.231314341,18,6,3,-0.215410233,-0.13
2020,0.19,0.370892843,30,14,7,0.503493627,-0.375
2021,-0.66,0.008002599,21,7,4,0.058237712,0.17
2022,-1.063333333,-0.03696696,14,8,2,-0.01580747,-0.07
2023,0.163333333,0.710576375,20,7,3,0.828964233,0.285
2024,0.71,1.377728144,18,11,5,1.344620387,-0.45
2025,-0.086666667,0.125672658,13,5,4,0.119066238,-0.07
